name,2015년(20대)
문학 > 한국문학 > 소설,17
문학 > 일본문학 > 소설,16
문학 > 프랑스문학 > 소설,13
문학 > 한국문학 > 르포르타주 및 기타,11
문학 > 영미문학 > 소설,10
문학 > 한국문학 > 한국문학,5
철학 > 심리학 > 응용심리학 일반,3
문학 > 독일문학 > 기타 게르만 문학,3
"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",3
"총류 > 총류 > 지식, 학문 일반",2
문학 > 스페인문학 > 포르투갈문학,2
철학 > 심리학 > 각론,2
사회과학 > 경제학 > 경제학,1
사회과학 > 경제학 > 경영관리,1
역사 > 아시아(아세아) > 한국,1
사회과학 > 경제학 > 경제정책,1
역사 > 지리 > 유럽지리,1
"사회과학 > 교육학 > 학습지도, 교육방법",1
문학 > 한국문학 > 수필,1
"철학 > 윤리학, 도덕철학 > 국가 및 정치윤리",1
"사회과학 > 풍속, 민속학 > 민족학",1
문학 > 일본문학 > 르포르타주 및 기타,1
역사 > 지리 > 아시아지리,1
문학 > 독일문학 > 소설,1
"사회과학 > 사회학, 사회문제 > 사회학",1
